纱批,y_true,pred_ml_oof,pred_dl_oof,rel_err_ml,rel_err_dl,label_dl_better
H222-104505,296.3,288.0599060058594,284.4738960266113,0.027809969604666,0.03991260200131474,0
H222-104506,446.9,460.5423889160156,451.1995315551758,0.03052671496019329,0.009620791127947184,1
H222-104507,360.9,346.2515563964844,339.9336338043213,0.04058864949600919,0.058094669423933896,0
H222-104521#,255.7,275.5478515625,287.0685338973999,0.07762163301417206,0.12267709775585899,0
H222-104524V#,269.8,310.51361083984375,294.5192337036133,0.1509029312021301,0.09162058451703878,1
H222-104525,466.0,451.04498291015625,430.91983795166016,0.03209231135090735,0.07527931769868465,0
H222-104526,482.0,454.2601623535156,424.2064952850342,0.05755153038570303,0.1199035367505535,0
H222-104531#,202.3,224.13511657714844,219.8359251022339,0.10793433799342106,0.0866827736103166,1
H222-104532,300.7,308.4911193847656,295.93589305877686,0.025909941418378907,0.015843388563567342,1
H222-104535#,457.2,434.09686279296875,453.5161018371582,0.05053179616475486,0.008057520041035018,1
H222-104543V,255.8,263.98828125,249.97446537017822,0.0320104818204843,0.02277378666768589,1
H222-104544V,428.7,402.964111328125,399.7411251068115,0.06003239718048674,0.06755044294964535,0
H222-104545V,340.6,319.9861755371094,314.0141010284424,0.06052209178592315,0.07805607448848231,0
H222-104591V,291.7,286.2953796386719,281.67266845703125,0.018528009465693634,0.034375493803993774,0
H222-104592,974.9,943.7484741210938,935.9271049499512,0.031953560240626414,0.03997630018427433,0
H222-104593V,317.9,337.15533447265625,335.7830762863159,0.06057041356417291,0.05625377881646242,1
H222-104597V,234.9,256.5167541503906,247.37539291381836,0.09202534759246643,0.05310937808977122,1
H222-104602,463.4,498.02587890625,524.6243476867676,0.07472136147065776,0.13211986984343202,0
H222-104608,209.2,199.71807861328125,209.81721878051758,0.045324672018477494,0.0029503765797709645,1
H222-104615V,224.6,262.5003662109375,243.12493801116943,0.16874606504563688,0.08247968838087552,1
H222-104628,218.1,242.860107421875,250.3605842590332,0.11352639807766961,0.14791647986040368,0
H222-104629,296.1,296.2281799316406,296.49271965026855,0.0004328940615882246,0.0013263074983291753,0
H222-104642#,215.2,265.02813720703125,259.8508834838867,0.23154338849775014,0.20748551803815926,1
H222-104643V,283.6,315.5557861328125,297.4374532699585,0.1126790766279467,0.04879214834086936,1
H222-104652#,335.3,338.82806396484375,335.7178211212158,0.010522111436738793,0.0012461113068993374,1
H222-104661,188.1,206.90158081054688,214.23492431640625,0.09995524088010276,0.13894164973427348,0
H222-104662,310.4,317.7264709472656,319.3979501724243,0.023603321349966542,0.02898824153393833,0
H222-104669,218.0,191.2952423095703,262.98532485961914,0.12249888848259036,0.20635470118144766,0
H222-104671V,173.0,158.00425720214844,163.5021686553955,0.08668059420222403,0.05490075921419355,1
H222-104672NV,283.4,258.43145751953125,273.7988233566284,0.08810353733093752,0.0338785343790853,1
H222-104673N#,483.8,510.9861755371094,589.8575782775879,0.05619300441617907,0.21921781371516266,0
H222-104674NV,278.4,261.0094299316406,285.00261306762695,0.06246612811686312,0.023716282569647317,1
H222-104675N#,506.0,495.7125244140625,526.880931854248,0.020330979418447016,0.04126666374275767,0
H222-104688,247.1,251.5451202392578,250.96354484558105,0.01798915515612273,0.01563555178237436,1
H222-104695V,319.4,332.45599365234375,317.9246187210083,0.040876623831981866,0.004619227548357809,1
H222-104705V,407.9,411.9732360839844,420.1394557952881,0.009985869291209952,0.03000602058099546,0
H222-104706#,607.9,608.3590698242188,641.36962890625,0.0007551732591071246,0.055057787309918484,0
H222-104708,371.2,371.442626953125,377.854061126709,0.0006536286452545126,0.01792581122448744,0
H222-104721,189.1,212.11940002441406,197.10012674331665,0.12173135919194476,0.0423063286245034,1
H222-104726V,351.1,357.07122802734375,332.1507453918457,0.01700720030525108,0.0539711039806739,0
H222-104731SV,264.9,277.83544921875,286.24470233917236,0.04883144287754514,0.08057645276846592,0
H222-104732#,372.1,431.423095703125,444.5517063140869,0.15942783042604325,0.19471030989556512,0
H222-104733,316.0,309.7411804199219,324.5562791824341,0.019806391075569814,0.027076832854947195,0
H222-104735,549.8,548.6651611328125,581.5077781677246,0.002064093974475834,0.05767147720470706,0
H222-104736V,401.9,403.3376159667969,415.00182151794434,0.0035770489344641135,0.032599705194372636,0
H222-104765HTSN,352.8,319.68719482421875,346.45447731018066,0.09385715752506431,0.0179861754241482,1
H222-104767,320.8,357.5133361816406,317.3860549926758,0.11444306789431478,0.010641973214519358,1
H222-104783,259.0,253.81216430664062,248.32098484039307,0.02003025364154082,0.04123171876136918,0
H222-104811,295.1,319.7401428222656,343.08364391326904,0.08349760359685064,0.1626013009543985,0
H222-104813,267.7,278.1431884765625,273.9044666290283,0.03901078997449534,0.023176939218515363,1
H222-104814V,280.2,274.0121154785156,283.69176387786865,0.02208381342349581,0.012461684074746777,1
H222-104815,935.3,1004.84716796875,981.7293167114258,0.07435813960013521,0.04964109559598997,1
H222-104817,241.1,235.80088806152344,258.33797454833984,0.021978896467261585,0.07149719845551587,0
H222-104830,359.3,349.57659912109375,340.59200286865234,0.027062067572044643,0.05206790183920676,0
H222-104834,350.1,333.806884765625,335.5118751525879,0.04653846110799668,0.04166845143386303,1
H222-104835,267.0,261.09967041015625,256.04867935180664,0.022098612695216343,0.04101618220143519,0
H222-104836V,256.4,241.14439392089844,255.27997016906738,0.059499243675922575,0.004368291072109639,1
H222-104849,308.0,311.3510437011719,312.9046440124512,0.010880012016438555,0.015924168871077695,0
H222-104859#,294.2,277.90203857421875,301.87151432037354,0.05539755752966439,0.026075847451097173,1
H222-104860,304.0,277.90203857421875,298.00024032592773,0.08584855731882488,0.01973605155879903,1
H222-104874#,966.6,949.3804321289062,958.6175918579102,0.01781457466471718,0.008258233128499156,1
H222-104879#,294.6,306.1327819824219,298.2876777648926,0.03914725723703455,0.012517575576264017,1
H222-104881V#,276.7,256.3649597167969,261.9891405105591,0.07349129122684568,0.053165375818248116,1
H222-104882V,253.2,274.1041564941406,270.76575756073,0.08255985976822684,0.06937502985796304,1
H222-104886#,324.4,317.4845275878906,323.6341953277588,0.021317732465771195,0.002360680247279844,1
H222-104887,406.2,429.9229431152344,419.3004608154297,0.05840212485142877,0.032251257545807946,1
H222-104888#,917.5,979.0308837890625,862.8427505493164,0.06706363355683037,0.05957193400554537,1
H222-104889,217.0,249.40670776367188,227.26588249206543,0.14933966710681326,0.04730821424696934,1
H222-104892#,317.4,301.6260681152344,296.6235876083374,0.04969732792775246,0.06545813607752991,0
H222-104893,300.9,312.9080505371094,303.2223701477051,0.03990711378102468,0.007718079586666401,1
H222-104915,448.9,433.9856262207031,410.64610481262207,0.03322426771878951,0.08521696410453494,0
H222-104919,487.5,454.93017578125,451.26476287841797,0.06680989583196287,0.07432869152992563,0
H222-104927,395.5,457.1030578613281,429.1055202484131,0.15575994401964735,0.08496970985477469,1
H222-104931SV-746,261.7,297.4861755371094,316.31226539611816,0.1367450345270995,0.20868271071467845,0
H222-104934,258.0,260.08563232421875,257.7817678451538,0.008083846217588803,0.0008458610652625302,1
H222-104937,446.9,430.7931823730469,467.95263290405273,0.03604121196373392,0.04710815149604313,0
H222-104938#,300.5,291.3123779296875,296.6528654098511,0.03057444948421549,0.012802444559137774,1
H222-104939#,427.9,445.7592468261719,458.86969566345215,0.04173696383677151,0.072376012298968,0
H222-104941V,255.0,253.4312744140625,255.27753829956055,0.006151865042650907,0.001088385488430051,1
H222-104983,408.0,393.2317810058594,389.7594928741455,0.03619661518083005,0.04470712530737113,0
H222-104984,523.8,529.01806640625,516.8820381164551,0.009961944265273819,0.01320725827302941,0
H222-105003,236.9,231.49855041503906,244.2988395690918,0.02280054700182751,0.03123191037897624,0
H222-105010V,274.1,252.35641479492188,262.6625061035156,0.07932719884817539,0.04172744945664766,1
H222-105013V,304.6,286.53948974609375,275.5741834640503,0.05929254843504053,0.09529158415954304,0
H222-105037V,245.1,244.97674560546875,259.63127613067627,0.0005028739066757061,0.05928713231368178,0
H222-105038V,380.7,396.2453308105469,385.5396270751953,0.040833545600574075,0.012712443065584974,1
H222-105048,280.0,301.3072204589844,310.56067943573,0.07609721592222643,0.1091452836951376,0
H222-105049,354.8,366.7969055175781,379.72497940063477,0.03381314971037199,0.07025078748571659,0
H222-105063,586.4,602.4122314453125,607.7797889709473,0.02730598813956252,0.036459394561020965,0
H222-105064,1006.0,927.1557006835938,985.297679901123,0.07837405498570826,0.020578847016571734,1
H222-105069V#,254.6,254.8301239013672,266.6064262390137,0.0009038644986573234,0.04715799779474508,0
H222-105088,478.5,551.0409545898438,446.2772846221924,0.15160074104143728,0.06734109796684265,1
H222-105132,321.5,366.20166015625,334.1942310333252,0.13904093360765035,0.039484388904915554,1
H222-105188,449.8,460.58074951171875,452.63962745666504,0.0239678735248534,0.0063130890542505485,1
H222-105189V,284.1,265.1191711425781,268.71957778930664,0.06681037964362475,0.054137353784413964,1
H222-105190#,345.9,352.243896484375,359.3214750289917,0.018340261590608906,0.03880160459266755,0
H222-105192,256.2,270.7137756347656,290.81053733825684,0.05665017811943456,0.13509187094811057,0
H222-105193,271.9,264.1452941894531,283.1791400909424,0.028520433285257992,0.04148267778789106,0
H222-105194,409.3,430.0569763183594,458.7120056152344,0.05071335528427127,0.12072319964335972,0
H222-105195,280.0,279.14599609375,299.6882200241089,0.003050013950783928,0.07031507151216335,0
H222-105204V,278.4,305.61956787109375,270.8087205886841,0.09777143631507206,0.02726752662012651,1
H222-105205V,425.0,591.117919921875,447.78175354003906,0.39086569392462667,0.053604125975301224,1
H222-105206V,287.4,334.98419189453125,271.3332176208496,0.16556782147834237,0.055903905283894675,1
H222-105211J,261.3,223.2152557373047,302.1354675292969,0.14575103046780638,0.15627809999132827,0
H222-105249#,308.5,320.1489562988281,315.3738498687744,0.037759988001460375,0.022281523074721553,1
H222-105269,311.8,272.8265686035156,303.1002998352051,0.12499496919574866,0.027901539975997168,1
H222-105271#,574.7,529.8025512695312,502.44140625,0.07812327950180539,0.12573271924263565,0
H222-105324N,329.3,315.87872314453125,311.00664138793945,0.040756990145949565,0.05555225815822968,0
H222-105325N,343.7,351.1075744628906,329.7733783721924,0.021552442428499016,0.040519702145482714,0
H222-105337NV,266.0,271.9963073730469,281.2549591064453,0.02254250892038139,0.05734947032282638,0
H222-105338N,315.1,302.8486022949219,305.7157278060913,0.038880982877465366,0.029781885730278942,1
H222-105339N,310.5,346.518310546875,330.97617626190186,0.11600100014723023,0.06594581726648115,1
H222-105353N,243.7,252.7963104248047,244.76871490478516,0.037325853198323516,0.004385370967342281,1
H222-105354NV,408.2,374.6747741699219,403.58338356018066,0.0821294116346321,0.01130969240496381,1
H222-105355NV,280.4,256.9902648925781,271.425724029541,0.08348692976671535,0.03200526380220724,1
H222-105364,448.9,429.16448974609375,428.23190689086914,0.043964157392440605,0.046041642033126357,0
H222-105365,288.5,298.01959228515625,283.0552816390991,0.03299685367357463,0.018872507316159977,1
H222-105448NV,237.9,274.36279296875,245.23038864135742,0.15326941137964395,0.03081289886947998,1
H222-105449NV,442.5,418.79400634765625,402.8867721557617,0.05357286700973564,0.08952141885501258,0
H222-105450NV,372.8,390.2057189941406,396.3876485824585,0.04668916039075569,0.06327158954352405,0
H222-105512NV,308.5,259.2702941894531,266.0252809524536,0.15957765254117048,0.13768142316424498,1
H222-105513NV,459.2,440.24725341796875,402.8517246246338,0.041273402834535074,0.12270965891580815,0
H222-105514NV,363.0,336.04168701171875,328.6376476287842,0.07426532503454158,0.09466212774178842,0
H222-105517N,273.5,289.29638671875,284.55801010131836,0.057756441382714574,0.04043148117336031,1
H222-105540NV,262.9,271.2211608886719,271.9428539276123,0.031651429776931854,0.03439655354609495,0
H222-105544N,189.8,225.390625,208.29761028289795,0.18751646468980412,0.0974584314116088,1
H222-105547N,652.8,623.5838012695312,613.7997627258301,0.04475520638790005,0.05974301052936956,0
H222-105551N,394.3,392.1195983886719,380.6837558746338,0.005529803731353889,0.03453270130616509,0
H222-105563V,335.0,341.3947448730469,334.6376895904541,0.019088790665241752,0.001081523610552487,1
H222-105564,528.0,520.991943359375,499.8429298400879,0.013272834546386877,0.053327784392762936,0
H222-105566,1167.0,1142.5294189453125,1100.0347137451172,0.02096879267735888,0.05738242181174721,0
H222-105568,407.5,447.54217529296875,440.05017280578613,0.09826300685149968,0.07987772467481559,1
H222-105569,414.2,461.7630920410156,424.4553565979004,0.1148312217283132,0.024759431669852262,1
H222-105575NV,295.3,296.5192565917969,282.92763233184814,0.004128874337133677,0.04189762163133386,0
H222-105579N,280.3,303.6038818359375,308.1202745437622,0.08313907183412807,0.09925178217185043,0
H222-105600NV#,292.7,296.642822265625,295.0490474700928,0.013470523626546998,0.008025444038307244,1
H222-105611V,269.1,216.60060119628906,243.71697902679443,0.19509252620497966,0.09432560747774928,1
H222-105613V,350.6,337.920166015625,340.25354385375977,0.03616609807191489,0.029510713479592554,1
H222-105615V,491.8,439.6424255371094,458.41078758239746,0.10605444176866631,0.06789185119341934,1
H222-105620V,321.0,378.341552734375,331.3323974609375,0.17863412066226997,0.0321881540829147,1
H222-105628-1,535.8,582.5485229492188,530.8573246002197,0.08724994951165789,0.009224851436521053,1
H222-105630N#,343.0,344.4726257324219,313.35597038269043,0.004293369482154348,0.086425742321998,0
H222-105631N,493.3,510.99176025390625,505.1776885986328,0.03586409943958564,0.024078022700977135,1
H222-105633NV,318.8,305.59710693359375,298.17216396331787,0.04141434462356373,0.06470462997501597,0
H222-105641-1,471.3,620.5501098632812,549.0856170654297,0.316677508720803,0.16504480599146876,1
H222-105647-1,543.3,608.8190307617188,518.6319351196289,0.12059457161883463,0.04540413193432175,1
H222-105648-1,558.4,607.5774536132812,512.8843307495117,0.08806850575286639,0.081510869000131,1
H222-105652-1,522.8,570.0643310546875,566.8287754058838,0.09040614203095541,0.08421724446258926,1
H222-105669N,352.9,346.82611083984375,347.03617095947266,0.017211360612026393,0.016616120828453273,1
H222-105672N#,350.8,339.7761535644531,347.4834442138672,0.0314248758130919,0.00945426392827332,1
H222-105673,269.7,301.42193603515625,268.2818651199341,0.11761934013340775,0.005258193845062383,1
H222-105675NV,307.1,318.6128845214844,312.31820583343506,0.037489041097718855,0.016991878323885108,1
H222-105676N,380.9,376.15234375,394.3638563156128,0.012464311498753832,0.03534748310648291,0
H222-105678V,330.3,343.05145263671875,330.147647857666,0.03860566950146134,0.00046125383690397576,1
H222-105682N,646.2,617.7994384765625,658.1546783447266,0.043950110682448223,0.01849996648799368,1
H222-105685V,336.4,327.67694091796875,337.02826499938965,0.025930615581961716,0.0018676129588911863,1
H222-105686V,442.8,453.1854553222656,394.40433979034424,0.0234540544761316,0.10929462558392689,0
H222-105699N,522.4,523.20703125,513.2638931274414,0.0015448530819000272,0.01748871912784013,0
H222-105700N,392.6,417.0510559082031,375.22292137145996,0.062279816371829604,0.04426153496713562,1
H222-105701N,606.5,616.1777954101562,630.4739475250244,0.01595679375102503,0.03952835535800351,0
H222-105702N,984.7,985.5399169921875,1042.4022674560547,0.0008529673932963591,0.058598829547546104,0
H222-105707N,663.2,606.66455078125,641.0336971282959,0.08524645539489985,0.033423255234273086,1
H222-105711-1,510.8,514.29248046875,528.3768177032471,0.006837275780504338,0.03441037138391338,0
H222-105712-1,487.1,580.9883422851562,528.6387920379639,0.19274962488858288,0.08527775002486361,1
H222-105713V,322.3,342.6932373046875,305.4081439971924,0.063274084095733,0.05241035061211146,1
H222-105714N,347.1,333.29425048828125,365.3735399246216,0.03977455923745614,0.05264632648831776,0
H222-105724N,348.2,346.2264099121094,330.58080673217773,0.005667978425714916,0.05060078479987434,0
H222-105747NV,262.9,260.4653625488281,268.3626651763916,0.009260697797943116,0.020778490590277063,0
H222-105748N,572.1,545.6312255859375,560.5664730072021,0.04626599268239794,0.020159984255543217,1
H222-105755NV,252.0,267.4715270996094,275.51255226135254,0.0613949488055374,0.0933037788111885,0
H222-105756NV#,382.7,455.3468933105469,436.12780570983887,0.18982726236908443,0.13960754039310896,1
H222-105771V,275.1,290.353271484375,291.78240299224854,0.055446279475901535,0.06064123224878989,0
H222-105772V,333.4,319.9285888671875,328.8940906524658,0.040406152166791894,0.013515025037189583,1
H222-105774#,263.3,263.7437744140625,263.594126701355,0.0016854326397479464,0.0011170782428552917,1
H222-105782#,215.5,242.34852600097656,212.02116012573242,0.12458712760895913,0.016143108464529685,1
H222-105783#,475.1,487.0205383300781,467.06390380859375,0.025090587939017462,0.016914536289701382,1
H222-105799N,290.4,277.0254211425781,279.5952796936035,0.04605571231735983,0.0372063371419573,1
